text,label
"Acea Elabori entered into a Collaboration Agreement with Sapienza University of Rome’s Civil and Industrial Engineering Faculty, for the development of an effective training course connected to the needs of the world of work, the dissemination of the scientific culture and student support, and the increasing of female enrolment in the Faculty’s courses, and signed a Framework Agreement with the CNR (Italian National Research Council) to collaborate on minimising the production of sludge and chemical contaminants; on combined treatments for liquid waste, sludge and organic fraction of municipal solid waste (OFMSW) with the recovery of material and energy with a view to a circular economy and sustainable management; on mobile plants for the localised treatment of sludge and waste; on the issue of atmospheric emissions with a focus on innovative solutions and the sustainable management of water resources.",sustainable
These data only reflect incidents classified as significant.,unsustainable
Scope 2 includes emissions from purchased energy such as electricity or district heating.,unsustainable
Combining this with our evaluation criteria will allow us to reduce further the sustainability risk of the fund.,sustainable
"Many of our clients are already subject to climate change regulation, such as the EU Emissions Trading Scheme.",unsustainable
"After long standing tenants moved out of the building, BNP Paribas REIM was able to completely renovate the asset with recycled materials, minimizing energy consumption and improving biodiversity.",sustainable
Malnutrition is not the only reason why the global food system needs to change.,unsustainable
"In 2015, as part of its low-carbon strategy, CNP Assurances signed the Energy Efficiency Charter for Commercial Buildings, thereby illustrating its desire to become more involved in the green building sector.",sustainable
"To reduce emissions related to our supply chain, our responsible supply chain management framework continues to drive our sustainable procurement as it has done since 2008.",sustainable
"We are anticipating the risks of climate change, protecting and caring for our customers through our insurance products and enabling the transition to a low-carbon economy with our insurance and investment activities.",sustainable
"We have worked with clients to fund a wide variety of sustainable infrastructure, helping to reduce emissions, conserve resources, and build a stronger and more sustainable economy.",sustainable
"Launched in 2017 on the new Peugeot 308, the new generation is now being installed on Groupe PSA vehicles across 100 models in more than 70 countries.",unsustainable
"The goal is to optimize their yields, reduce the impact on the environment and be able to offer certified sustainable castor oil on the global market.",sustainable
"Furthermore, upon calculating CO2 emissions, the company confirmed that over 70% of the CO2 emissions from its business operations were attributable to domestic and international air travel, as shown in the graph below.",unsustainable
An impairment is recognized if the recoverable amount of the asset is lower than the carrying amount.,unsustainable
"Circular economy systems promote the reuse, refurbishment and recycling of products and assets, while minimizing emissions, waste and resource use.",unsustainable
"According to our calculations (made using tools such as the Scope 3 Evaluator designed by the GHG (greenhouse gas) Protocol and Quantis), the sectors and product lines assessed represent around two-thirds of the GHG emissions linked to our loan portfolio.",unsustainable
Amundi annually calculates CO2 emissions in two major categories: energy and business travel.,unsustainable
"Our services assess onsite product packaging processes and waste and recycling solutions, and we support our customers in demonstrating site-based environmental commitment.",sustainable
Scope 3 emissions are associated with the combustion of fossil fuels and contribute the majority of emissions within this sector.,unsustainable
"ČSOB Czech Republic, meanwhile, offers a green car loan with a preferential fixed interest rate for financing electric vehicles (EVs), hybrids, plug-in hybrids, mild hybrids and CNG (compressed natural gas) and hydrogen cell-powered vehicles.",sustainable
"To help us focus on things that matter the most to our employees, Europa promotes a continuous performance and development cycle by encouraging employee feedback through targeted surveys and annual appraisal reviews.",sustainable
A circular economy — keeping materials in use — can reduce emissions and plastic pollution.,unsustainable
"If any indication of impairment exists, an estimate of the asset’s recoverable amount is calculated.",unsustainable
"Main areas of innovation are: autonomous vehicle, driver assistance technologies and energy transfer (for electric vehicles of the future).",unsustainable
"In 2020, Foxway repaired and rescued 646,249 products and harvested 74,000 components 2020.",sustainable
KBC Belgium offers handy solutions in the KBC Mobile app for users travelling by car or public transport.,sustainable
The Alliance has used the One Earth Climate Model produced by the University of Technology Sydney (UTS) to set decarbonization objectives for the highest emitting sectors.,sustainable
Learn more about our efforts to reduce our scope 3 emissions in the Climate action chapter.,unsustainable
84% of employees feel that our flexible work arrangements meet their needs according to the recent employee engagement survey.,sustainable
"In 2020, CNP Assurances formalised this commitment by signing the Tobacco-Free Finance Pledge.",sustainable
"BNP Paribas Real Estate has developed operational roadmaps for three key topics: low carbon, biodiversity and circular economy.",sustainable
We focus on the areas where we have the greatest exposure and influence companies to reduce emissions in line with our net-zero objective.,sustainable
Impairment tests are based on a comparison of the carrying amount and the recoverable amount.,unsustainable
The term “carbon footprint” in this report refers to absolute emissions financed by BlackRock’s clients’ investments in corporate securities and real estate divided by BlackRock’s AUM (rounded to $ millions) in those investments.,unsustainable
"Today, 75% of the waste produced is metal waste which is subsequently recycled.",unsustainable
Our goal is to minimize risks along the entire transportation chain – from loading and transportation to unloading.,sustainable
"Each summer, as many as 15 million American children lose access to free and reduced-cost meals when the school year ends.",unsustainable
"This one project should reduce energy use at the site by 43,200 kWh.",sustainable
"The company has reduced its carbon footprint by 50% since 2018, and reduced carbon intensity by 46% over the same period.*",sustainable
"Doing so will require changes in all sectors of our economy, particularly the transformation of critical areas like energy, power, transportation and real estate.",unsustainable
"They are continuing to explore new and more sustainable road infrastructure solutions, such as charging stations for electric vehicles and solar-powered lighting.",sustainable
"Biogenic emissions (Scope 3), if present, are not being recorded.",unsustainable
"We encourage all employees, including permanent, seconded, contract, and temporary staff, to pursue self-development and professional development.",sustainable
"In concrete terms, this involves identifying incidents and events that could have a negative impact on stakeholders, the environment or a company’s activities and assessing its exposure to ESG risks.",unsustainable
"We encourage the use of public transportation where available through our transit pass program, which provides benefits and aids in the reduction of traffic congestion and carbon emissions.",sustainable
It is not obligatory to report Scope 3 (indirect emissions from the inputs and outputs to the main business activity – i.e. supply chain and consumer/end-user related emissions).,unsustainable
Is your organization’s low-carbon transition plan a scheduled resolution item at Annual General Meetings (AGMs)?,unsustainable
"This equates to 1,733 tCO2e and is a new source of Scope 3 emissions.",unsustainable
"Recent high-profile examples include a paper on decarbonization that analyzed the role of five key technologies in delivering the low-carbon transition — renewables, electric vehicles, carbon capture and storage, biofuels and hydrogen.",unsustainable
"Therefore, the CO2 emissions for all products incinerated were calculated by multiplying CO2 emissions per kg by the amount of pre-product.",unsustainable
We provide financing for circular business activities.,sustainable
Our institutional retirement business has further committed to reduce portfolio carbon emission intensity by 18.5% by 2025.,sustainable
"The areas of concern are climate change, water, deforestation and healthcare in developing countries.",unsustainable
"Specifically, for some tenders for water, electrical and civil engineering works awarded with the method indicated, rewarding criteria were also included regarding the use of ecological vehicles, additional training of workers in the area of safety, and the possession of certifications (where not already participation requirements) in the following areas: environment, health/safety, energy efficiency, the use of environmentally sustainable materials and corruption.",unsustainable
Our objective with these engagements is to encourage companies to set validated scientifc objectives to reduce their GHG emissions in line with the 2015 Paris Agreement.,sustainable
The carrying amount of each CGU is compared to its recoverable amount.,unsustainable
"JPMorgan Chase — principally through our CIB and CB businesses — provides strategic advice, raises capital, extends loans, and offers risk management solutions to help our clients achieve their sustainability objectives and make the transition to a low-carbon economy.",sustainable
We reduced our firm’s greenhouse gas (GHG) footprint by 71% by 2019 compared with 2004 levels.,sustainable
"Scope 2 GHG emission factors used in 2019 were extracted from the EMA Singapore Energy Statistics 2019, 2018 National Greenhouse and Energy Reporting (Australia), IEA Emission factors 2019, CLP Holdings Sustainability Report 2019 and HK Electric Investments Sustainability Report 2019.",unsustainable
"In addition, we encourage the use of virtual meetings and train transportation.",sustainable
"In October of 2019, we announced a commitment to achieve a 50% reduction in carbon emissions intensity by 2030 across our entire portfolio of Europe offices against a baseline year of 2017.",sustainable
"Overall, the countries that have the highest score are deemed to have better sustainable food systems.",unsustainable
"This will lower our annual CO2 emissions by 10,000 metric tons.",sustainable
"The management approach has thus relied on several non-financial trends and the various GREaT themes implemented have mainly concerned: natural resource management and environmental protection; access to medicine, treatment and healthcare equipment, and the development of medicine that integrates new technology; responsible purchasing policies and the development of more health-friendly products; business and consumer services, facilitating the emergence of a low-carbon economy with better use of energy, and helping to bridge the digital divide; reductions in high greenhouse gas emitting sectors have been achieved (oil, chemicals), while greener energies have been strengthened.",sustainable
"We offer support to NGOs, charities and social enterprises over the long-term to increase their effectiveness, reach and revenues, and to reduce costs.",sustainable
"According to the OECD, natural forests declined by 6.5 million hectares per year between 2010 and 2015 (in total, an area larger than the UK), and natural wetlands declined by 35% between 1970 and 2015.",unsustainable
"Scope 3 emissions are those that are indirectly created by the reporting company, as a result of both upstream and downstream activity along the company’s value chain.",unsustainable
"We follow a carbon neutrality strategy, seek to use resources efficiently and work to deliver sustainable value for society.",sustainable
"In line with our commitment to the Principles for Responsible Banking (PRB) and our participation in the Banking for Impact (BFI) working group, our Statement demonstrates our desire to seek to achieve positive impacts and reduce potentially adverse impacts on biodiversity and natural capital.",sustainable
"To retain talent, we invest in and support employees by offering a range of career opportunities supported through a variety of structured programmes and internal development pathways.",sustainable
"Total energy consumption in gigawatt hours comprises all sources used in Scope 1 and 2: natural gas, liquid fossil fuels (mobile and stationary), renewable and grid electricity, district heating, cooling, and steam.",unsustainable
It represents the total quantity of cooling fluids in operation.,unsustainable
"JPR is working to reduce power consumption by installing motion detectors in bathrooms, staff kitchens, and stairways when carrying out common-area renovations so that lights will be turned off when these areas are not in use.",sustainable
It appears that new technologies and innovation are required to help achieve the transition toward a food system that will be sustainable even when the world’s population increases to close to ten billion inhabitants.,unsustainable
We encourage employees and contractors to report near misses and dangerous incidents.,sustainable
"Catalyst, our employee engagement survey, provides employees with the opportunity to voice their opinions and provide feedback to Management.",sustainable
This is an investor- led initiative to engage systemically important greenhouse gas emitters and other companies across the global economy that have significant opportunities to drive the clean energy transition and help achieve the goals of the Paris Agreement.,sustainable
This is a measure of the level of commitment and the ability of corporates to adapt their economic model to the challenges posed by combating global warming and the energy transition.,unsustainable
"The Aprilia composting plant has a system for the treatment of residual water from waste awaiting processing for reuse in production processes, and exclusively for industrial uses (e.g. washing vehicles).",sustainable
"To date, we have not been organization tracking energy consumption outside our organization, but we are working to create more transparency on our Scope 3 émissions.",unsustainable
"At the same time, we want to increase our positive impact by providing more incentives towards public transport, cycling and electric cars.",sustainable
Both their total carbon footprint and carbon intensity has decreased since 2017.,sustainable
"The interventions carried out each year are aimed at rationalising and upgrading the networks, increasing transport capacity and margins for further use, increasing their resilience and reducing network losses and voltage drops, improving service continuity.",sustainable
This statement showed that there is an unmet demand for quality research to help investors respond to the biodiversity crisis.,unsustainable
"Ultimately, this work will reduce greenhouse gas emissions from CNP Assurances’ real estate assets (held in the Group’s own name or through wholly owned non-trading real estate companies) by 40% by 2021, starting in the reference year 2006.",sustainable
"We adhere to international standards to assess energy consumption and carbon emissions of our European Energy Efficiency Fund (EEEF), including the International Performance Measurement and Verification Protocol (IPMVP®) and ISO 14064-2, and work with partner companies or projects to establish and apply all those standards.",sustainable
This can be done by dipping fruit or vegetables in the coating mix or spraying the mix onto the produce.,unsustainable
"Analysis by van Kernebeek et al (2015, “Saving land to feed a growing population: consequences for consumption of crop and livestock products”) shows that the most efficient land use requires animal-based protein to remain part of people’s diets.",unsustainable
"This not only reduces energy consumption and carbon footprint, but also brings financial savings for our customers.",sustainable
"Moreover, JRE requests the PM companies to make proposals to help JRE reduce environmental impacts, such as measures to reduce energy consumption as part of their management duties.",sustainable
"In 2020, we once more included questions regarding employee health in our Group-wide, anonymous employee engagement survey.",sustainable
"In the context of Networks, for the transformation of electricity and transport for delivery to end users, the main risks are attributable to: existence of overhead and underground systems with impacts in terms of land use and subsoil; generation of waste and impacts on ecosystems; generation of electromagnetic fields with impacts in terms of exposure; maintenance of transformation plants with potential soil and subsoil contamination with hazardous materials; maintenance and construction of plants with impacts in terms of production of special waste.",unsustainable
"Notes: Scope 1 includes natural gas, liquid fuels, refrigerants, district cooling, district heating, company vehicles.",unsustainable
"Data coverage for emissions Scope 1&2 is 79% of the financing provided to the top 50 clients, mainly based on data publicly disclosed by clients.",unsustainable
"In June 2020, Amundi launched AMUNDI ÉNERGIES VERTES, the first energy transition fund eligible for life insurance policies investing directly in green infrastructure.",sustainable
"As part of our company-wide recycling strategy, we consider the journey of waste through our buildings, working to minimize waste volumes and maximize recycling rates at each stage of the waste journey.",sustainable
"It is designed to help bring our proven renewable energy insurance competences at group-level to fast developing growth markets – such as Turkey, the CEE region, and several African countries – to support their transition to the low-carbon economy.",sustainable
"However, we managed to reduce the energy intensity through various initiatives described within this report.",sustainable
"Studies supporting this view include not only the EAT-Lancet study, but also others such as Rockstrom et al., 2020, “Planet- proofing the global food system;” Searchinger et al, 2018, “Creating a sustainable food future: a menu of solutions to feed nearly ten billion people by 2050;” and Gao & Bryan, 2017, “Finding Pathways to national-scale land-sector sustainability.”",unsustainable
The acceleration of reduced carbon pledges is more advanced in the U.K. than in any other country.,unsustainable
"We consider ourselves an active owner in this sector, urging companies to amend their business model and transition to low-carbon energy provision.",sustainable
"Having committed to reducing our vehicle feet CO2 emissions every year from 2016 until 2020, we have begun to source more environmentally friendly cars, along with implementing other initiatives (see case study opposite).",sustainable
"As a signatory of the Tobacco Free Finance Pledge, in 2020 we further strengthened our tobacco exclusion policy.",sustainable
"The current challenge is accurately measuring the emissions of banks and other financials, especially Scope 3 emissions.",unsustainable
"A disclosure has been provided on pages 70, 75 and 90 of the SGS 2019 Sustainability Report as a caveat to the Scope 1 and Scope 2 inventory exclusions noted above.",unsustainable
Salva Terra work to ensure food security and livelihood development for smallholder farmers and their families.,sustainable
"Second, public funding around the world is falling far short of meeting the growing infrastructure demands caused by demographic shifts — greater demands for energy, transportation, healthcare and education.",unsustainable
"However, a challenge remains for many economic actors: quantifying their impact in order to propose the most effective decarbonization plans.",unsustainable
They produced around 30.1 percent of our total Scope 1 and Scope 2 carbon emissions.,unsustainable
"For other-than-temporary declines in fair value, the cost of securities is reduced to fair value and the impairment losses are recognized by a charge to operations.",unsustainable
"The most significant incidents concern “blacked out street”, in relation to a “network fault” (48%) and “lighting point out” (25%), with the lowest impact in terms of safety.",unsustainable
"Food loss typically takes place during the post-harvest, production, processing and distribution stages in the food supply chain.",unsustainable
The modes of transportation are based on employee surveys and on publicly available information.,unsustainable
"Since individual countries will implement decarbonization policies in different ways, changes to industries will also depend on where they are located and how the policies evolve over time.",unsustainable
"The reduced fragmentation in favour of medium-large plants, combined with integration of sewerage collector systems, has allowed greater control of treatment efficacy and optimisation of management and energy costs.",sustainable
"The “individuals” ecosystem incorporates Group employees, customers and users of mobility services in general.",unsustainable
We saw a decline in our AES scores this year related to corporate restructurings and associated impacts on perceptions around the importance of employees and career development opportunities.,unsustainable
READ has put in place strategies to reduce the environmental impact of direct and indirect emissions.,sustainable
"CO2 emissions per production unit are now an important element for corporate competitiveness, and companies’ interests, assets, businesses and others related to fossil fuels can be assumed to become “stranded assets” and may lose their value in the future.",unsustainable
It is clear that companies will have to reduce their GHG emissions in the years and decades ahead to keep global warming below 2°C.,unsustainable
The company put initiatives in place to reduce the carbon footprint in its operations.,sustainable
"In addition, it aims to discover what past pollution may be present in the soil on its sites.",unsustainable
"Moreover, JRE requests the PM companies to make proposals to help JRE reduce environmental impacts, such as energy efficiency measures in buildings.",sustainable
The Group strives for continuous reductions of CO2 emissions by enabling trains to use the tunnel.,sustainable
"Fossil fuels (oil, gas and coal) continue to play a dominant role in global energy systems and are widely used as a feedstock for other products.",unsustainable
The Equator Principles are international guidelines for private-sector institutions to ensure that impacts on the environment and regional communities are fully taken into consideration when implementing loans such as project finance loans.,unsustainable
"We systematically address six areas for improvement: heating and cooling systems, energy consumption, water consumption, lights, carpeting and paint.",sustainable
Our goal is to reduce our use of EPS by 20% by 2022.,sustainable
These offer an integrated solution for charging electric vehicles and for 5G applications with additional services.,sustainable
"Lastly, the Board of Statutory Auditors performs supervisory duties, according to the traditional model in force.",unsustainable
Companies above satisfying thresholds are considered as mostly addressing their deforestation risks.,unsustainable
These figures pertain to the total weight of transported products and indicate the primary means of transport.,unsustainable
"While we focus on reducing our CO2 emissions, any residual emissions are compensated for through our carbon offsetting strategy.",sustainable
"On joining the Net-Zero Asset Owner Alliance in 2019, CNP Assurances pledged to achieve carbon neutrality in its investment portfolio by 2050.",sustainable
"When we met with Rio Tinto, the chairman explained that the firm’s business mix made it challenging to set meaningful Scope 3 emissions targets.",unsustainable
"At the same time, they increase production to meet greater demand caused by global population growth and changing food habits.",unsustainable
"On August 1, 2018, BASF SE acquired significant parts of the seed and non-selective herbicide business as well as assets of Bayer AG.",unsustainable
"Firstly, we want to contribute to a reduction in carbon emissions in the Netherlands by making the residential and commercial real estate that we finance in the country more sustainable.",sustainable
"Lastly, the increased focus on core capabilities or geographical footprints and the ongoing simplification of business models to reduce operational and compliance risks will result in further disposals of non-core businesses and assets.",unsustainable
All employees have access to career coaching services and training courses that elevate our culture and drive our commitment to racial equity and best in class leadership.,sustainable
"In addition to its investment policy incorporating ESG criteria and its contribution to the environmental and energy transition, CNP Assurances pursues an active policy in terms of societal impact investments.",sustainable
"Precision agriculture (PA) is a new approach making use of digital innovations such as artificial intelligence, drones, intelligent sensors, mobile applications and satellite technologies.",unsustainable
"From 2017 to 2019, the CO2 emissions caused by employee air travel fell by 22 per cent.",sustainable
"Some examples of these initiatives are our working to reduce our environmental footprint by acquiring eco-friendly building certifications for the logistics facilities we develop and own, contributing to society through volunteer activities and allowing our logistics facilities to be used as evacuation sites, and reinforcing our corporate governance through the introduction of an investment unit ownership plan.",sustainable
Furthermore the team work to monitor and reduce ESG risks to improve each investment’s sustainability over the ownership period.,sustainable
"Members of each cross-functional work-stream team, which include diverse global employees, have the opportunity for professional development.",sustainable
"We have committed to reduce our operational GHG emissions by 50% by 2020, compared with a 2005 baseline.",sustainable
Find out more about our strategy and actions around climate change and decarbonization in our In-Focus article in section 02 of this report.,unsustainable
"With grid electricity being the main source of energy, such consumption by our properties will indirectly translate into carbon emissions into the environment.",unsustainable
Action plan scenarios adapted to each building have been defined in order to reduce CO2 emissions and energy use.,sustainable
"Table 1 – Remuneration paid to the members of management and supervisory boards, general managers and other executives with strategic responsibilities Remuneration paid to members of the Board of Statutory Auditors (euro)",unsustainable
"Their activities include sustainable fashion swap shops, paper towel waste reduction awareness and launching a crisp packet recycling scheme.",sustainable
"Nevertheless, many of our colleagues found ways to help their communities through volunteering days during the pandemic.",sustainable
Impairments are recognized if the carrying amount of an asset exceeds the recoverable amount.,unsustainable
"If soil and groundwater contamination occurs at active or former BASF sites, proper remediation measures are reviewed based on prevailing legal and current technical standards, and undertaken as necessary.",sustainable
This is not captured by current carbon footprint methodologies.,unsustainable
"BNY Mellon does not sell any electricity, heating, cooling, or steam.",unsustainable
"Through 2019, we helped channel $80 billion into low-carbon financing, up $50 billion from 2018.",sustainable
The ACT method is jointly backed by the French Agency for Ecological Transition (ADEME (and the CDP (Carbon Disclosure Project) and is designed to help evaluate the climate strategies of companies and their alignment with sectoral decarbonization targets.,unsustainable
"Our success in achieving carbon neutrality and reducing our overall environmental impacts is due to a combination of programs, collaborations with key stakeholders, and technical innovation in several areas.",sustainable
Global CO2 emissions are reduced to net zero by around 2050.,sustainable
We want to be the financial provider of choice for clients who wish to mobilize capital towards the achievement of the 17 Sustainable Development Goals and the orderly transition to a low-carbon economy.,sustainable
"The transport distances from each Verbund site and in the different regions Europe, North America, South America and Asia were determined by internal experts.",unsustainable
The meeting is held as a video conference so that everybody globally is able to attend without travelling or creating any CO2 emissions.,sustainable
TUIS is a German transport accident information and emergency response system jointly operated by around 130 company fire departments within the chemical industry and specialists.,unsustainable
The used vehicles business is expected to increase its sales and transactions outside Europe by a third.,unsustainable
We proactively work to increase tenant awareness regarding how to reduce environmental load and cut water and electricity consumption.,sustainable
The Supervisory Board of BASF SE has four committees: 1. the committee for personnel matters of the Board of Executive Directors and the granting of loans in accordance with section 89(4) of the German Stock Corporation Act (Personnel Committee); 2. the Audit Committee; 3. the Nomination Committee; and 4. the Strategy Committee.,unsustainable
"Together, these represent around 75% of global CO2 emissions.",unsustainable
"This project implemented in partnership with their local partner, Tiempo de Juego, prepare the young people for a safe and fulfilling return into families and communities, to reduce the risks of violence, substance abuse and involvement in crime, and overall to reduce the likelihood of returning to the institutions.",sustainable
"As with all other CA100+ engagements, the dialogue has been centred on our expectation on Petrobras to take action to reduce their emissions in line with the Paris Agreement’s objectives, strengthen their governance around climate risks and opportunities, and become more transparent in their climate reporting and risk management.",sustainable
"In 2020, we surpassed our goal to reduce water consumption by 10 percent per full- time equivalent (FTE) by 2025, achieving a 43 percent reduction.",sustainable
Scope 2 location-based emissions are reported above for comparison with historical years.,unsustainable
"Using a hybrid methodology for calculation, based on supplier information for Scope 1 and 2 emissions, our emissions with participating suppliers totalled 1.5 million metric tons of CO2e.",unsustainable
"Elsewhere, we have applied substitutes to minimise our carbon footprint.",sustainable
"Alongside this activity, we also decided to offset our entire operational carbon footprint in 2020.",sustainable
"Around the world, we transport and store numerous products and materials.",unsustainable
"Due to the Covid-19 pandemic, we decided not to undertake an engagement survey in 2020.",unsustainable
"This is an investor-led initiative to engage systemically important GHG emitters and other companies across the global economy, which have significant opportunities to drive the clean energy transition and help achieve the goals of the Paris Agreement.",sustainable
"We provide sustainable finance and advisory services to companies that help mitigate and adapt to climate change, and those in transition to a more sustainable and circular economy.",sustainable
We have a flexible suite of recovery options that enable us to face incidents with different impacts.,sustainable
"We have committed to reduce our carbon emissions across our total investments to net zero by 2050, for both asset owner and asset manager.",sustainable
"The economic impact of the pandemic has highlighted wealth disparities around the world, including the lack of meaningful career opportunities for too many young people.",unsustainable
Climate issues are exacerbating the risks of reduced access to fresh water.,unsustainable
This approach reduces our modest global operational environmental impacts and allows us to lead by example in light of our public statements regarding the importance of operating in an environmentally responsible manner.,sustainable
The goal is to finance 100 circular loans by 2020.,sustainable
